
2024/10/20 (02:44:25) | ===> btop++ v.1.4.0
2024/10/20 (02:44:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (02:45:41) | ===> btop++ v.1.4.0
2024/10/20 (02:45:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (02:45:55) | ===> btop++ v.1.4.0
2024/10/20 (02:45:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (02:46:22) | ===> btop++ v.1.4.0
2024/10/20 (02:46:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (16:36:58) | ===> btop++ v.1.4.0
2024/10/20 (16:36:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (17:55:32) | ===> btop++ v.1.4.0
2024/10/20 (17:55:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (16:56:00) | ===> btop++ v.1.4.0
2024/10/21 (16:56:00) | WARNING: Intel GPU: Failed to initialize PMU
